Codigo;Categoria;Producto;Fabricante;Nro. de Parte;Moneda;Precio sin IVA;%IVA;Imp. Int.;Precio Final U$D;Stock
0415881;Almacenamiento /Pen Drive;Pen Drive HIKSEMI 32Gb M210S Pully USB 3.0 (6638);Hiksemi;HS-USB-M210S(STD)/32G/U3/NEWSEMI/WW;US$;3.98;21;0;4.82;
0415879;Almacenamiento /Pen Drive;Pen Drive HIKSEMI 64Gb M200S Rotary USB 3.0 (6942);Hiksemi;HS-USB-M200S(STD)/64G/U3/NEWSEMI/WW;US$;3.43;21;0;4.15;Stock Bajo
0416220;Almacenamiento /Pen Drive;Pen Drive KINGSTON 128GB USB 3.2 DTX (white) (4359);Kingston;KC-U2G128-5R;US$;7.86;21;0;9.51;
0416216;Almacenamiento /Pen Drive;Pen Drive KINGSTON 128GB USB 3.2 DTXM NEON (Aqua Blue) (8584);Kingston;KC-U2L128-7LB;US$;7.86;21;0;9.51;
0416217;Almacenamiento /Pen Drive;Pen Drive KINGSTON 128GB USB 3.2 DTXM NEON (Green) (8560);Kingston;KC-U2L128-7LG;US$;7.86;21;0;9.51;Stock Bajo
0416218;Almacenamiento /Pen Drive;Pen Drive KINGSTON 128GB USB 3.2 DTXM NEON (Pink) (8591);Kingston;KC-U2L128-7LN;US$;7.83;21;0;9.47;
0416219;Almacenamiento /Pen Drive;Pen Drive KINGSTON 128GB USB 3.2 DTXM NEON (Purple) (8577);Kingston;KC-U2L128-7LP;US$;7.86;21;0;9.51;
0414352;Almacenamiento /Pen Drive;Pen Drive KINGSTON 256GB USB 3.2 DTX (0023);Kingston;DTX/256GB;US$;18.4;21;0;22.26;
0413309;Almacenamiento /Pen Drive;Pen Drive KINGSTON 128GB USB 3.2 DTX (9928);Kingston;DTX/128GB;US$;7.86;21;0;9.51;
0415873;Almacenamiento /Tarjetas de memoria;MicroSD HIKSEMI 128Gb Capture p/camaras profesionales 4k (0852);Hiksemi;HS-TF-E3(STD)/128G/CAPTURE/W;US$;10.24;10.5;0;11.32;
0416758;Almacenamiento /Tarjetas de memoria;MicroSD HIKSEMI 32Gb NEO c/Adap (6089);Hiksemi;HS-TF-C1(STD)/32G/NEO/AD/WW;US$;2.35;10.5;0;2.6;
0416532;Almacenamiento /Tarjetas de memoria;MicroSD HIKSEMI 512Gb NEO PLUS p/camaras videovigilancia (9011);Hiksemi;HS-TF-E1(STD)/512G/NEO PLUS/W;US$;38.28;10.5;0;42.3;
0415872;Almacenamiento /Tarjetas de memoria;MicroSD HIKSEMI 64Gb Capture p/camaras profesionales 4k (0845);Hiksemi;HS-TF-E3(STD)/64G/CAPTURE/W;US$;5.12;10.5;0;5.66;
0415869;Almacenamiento /Tarjetas de memoria;MicroSD HIKSEMI 64Gb NEO c/Adap (6096);Hiksemi;HS-TF-C1(STD)/64G/NEO/AD/WW;US$;2.59;10.5;0;2.86;
0416529;Almacenamiento /Tarjetas de memoria;MicroSD HIKSEMI 64Gb NEO PLUS p/camaras videovigilancia (6324);Hiksemi;HS-TF-E1(STD)/64G/NEO PLUS/W;US$;4.01;10.5;0;4.43;
0416212;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 128GB c/Adap Canvas GO! Plus (4K Camara-Drones) (1182);Kingston;SDCG3/128GB;US$;11.04;10.5;0;12.2;Stock Bajo
0416213;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 256GB c/Adap Canvas GO! Plus (4K Camara-Drones) (1250);Kingston;SDCG3/256GB;US$;19.09;10.5;0;21.09;
0416211;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 64GB c/Adap Canvas GO! Plus (4K Camara-Drones) (1045);Kingston;SDCG3/64GB;US$;7.38;10.5;0;8.15;Stock Bajo
0417206;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 64GB c/Adap Canvas GO! Plus Gen4 (4K Camara-Drones);Kingston;SDCG4/64GB;US$;7.8;10.5;0;8.62;Stock Bajo
0416214;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 64GB Endurace sin adap (Video seguridad) (0226);Kingston;SDCE/64GB;US$;10.84;10.5;0;11.98;
0412128;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 128GB c/Adap Clase 10 UHS-I (U1) 100MB/s Canvas Plus (8703);Kingston;SDCS2/128GB;US$;8.05;10.5;0;8.9;
0412474;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 256GB c/Adap Clase 10 UHS-I (U1) 100MB/s Canvas Plus (8710);Kingston;SDCS2/256GB;US$;17.18;10.5;0;18.98;
0412126;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 32GB c/Adap Clase 10 UHS-I (U1) 100MB/s Canvas Plus (8680);Kingston;SDCS2/32GB;US$;3.33;10.5;0;3.68;Stock Bajo
0412127;Almacenamiento /Tarjetas de memoria;MicroSD KINGSTON 64GB c/Adap Clase 10 UHS-I (U1) 100MB/s Canvas Plus (8697);Kingston;SDCS2/64GB;US$;4.4;10.5;0;4.86;
0417370;Computadoras /Mini PC;Mini Pc MSI Cubi Intel Core i3-1215U 8G M.2 500Gb Free Dos;MSI;Cubi 5 12M-086BUS-8G-500G;US$;288.9;10.5;0;319.23;Stock Bajo
0417371;Computadoras /Mini PC;Mini Pc MSI Cubi Intel Core i5-1235U 8G M.2 500Gb Free Dos;MSI;Cubi 5 12M-015BUS-8G-500G;US$;399.65;10.5;0;441.61;Stock Bajo
0417372;Computadoras /Mini PC;Mini Pc MSI Cubi Intel Core i7-1255U 16G M.2 500Gb Free Dos;MSI;Cubi 5 12M-016BUS-16G-500G;US$;510.93;10.5;0;564.58;Stock Bajo
0417418;Computadoras /PC;Pc Kelyx AMD Ryzen 3-3200G 8G SSD 256Gb (GIGA);Sistemas;PCARM-72812-3200G-8G-256G;US$;195.3;10.5;0;215.81;
0417285;Computadoras /PC;Pc Kelyx Intel Core i7-12700 8G SSD 480Gb (MSI);Sistemas;PCARM-72714-12700-8G-480G-5;US$;423.5;10.5;0;467.97;
0415949;Conectividad /Access Point y Extensores de Rango;Deco X50 Outdoor Pack de 1 Mesh TP Link AX3000 Wifi Gigabit (8564);TP-Link;Deco X50-Outdoor(1-pack);US$;72.61;10.5;0;80.23;Stock Bajo
0415393;Conectividad /Access Point y Extensores de Rango;Deco X50 POE Pack de 2 Mesh TP Link AX3000 Wifi Gigabit (9837);TP-Link;Deco X50-PoE(2-pack);US$;132.21;10.5;0;146.09;
0414629;Conectividad /Access Point y Extensores de Rango;HC220-G5 Pack de 2 Mesh para ISP TP Link AC1200 Wifi Gigabit (4320);TP-Link SMB;HC220-G5(2-pack);US$;48.18;10.5;0;53.24;
0412560;Conectividad /Access Point y Extensores de Rango;CPE710 CPE 5 GHz 867 MBps 23dbi High Power AP (9702);TP-Link;CPE710;US$;60.27;10.5;0;66.6;Stock Bajo
0413998;Conectividad /Access Point y Extensores de Rango;Deco X60 Pack de 1 Mesh TP Link AX5400 Wifi Gigabit (9301);TP-Link;Deco X60(1-pack);US$;76.7;10.5;0;84.75;Stock Bajo
0413567;Conectividad /Access Point y Extensores de Rango;EAP620HD AX1800 Mbps AP Gigabit MU-Mimo Ceilling Wall Mount (7765);TP-Link SMB;EAP620HD;US$;84.44;10.5;0;93.31;Stock Bajo
0417042;Conectividad /Cable de Red UTP / HDMI;Adaptador Kelyx HDMI a VGA 1080p c/audio;Kelyx;KL-CBL-HDTV-VGA;US$;2.24;21;0;2.71;
0417038;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx HDMI 1080P - 1.5 metros;Kelyx;KL-CBL-HDTV-1080P-1.5M;US$;1.05;21;0;1.27;
0417039;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx HDMI 1080P - 3 metros;Kelyx;KL-CBL-HDTV-1080P-3M;US$;1.71;21;0;2.07;
0417043;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx HDMI 4K - 1.5 metros;Kelyx;KL-CBL-HDTV-4K-1.5M;US$;1.36;21;0;1.65;
0417041;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx HDMI 4K - 10 metros;Kelyx;KL-CBL-HDTV-4K-10M;US$;5.78;21;0;6.99;
0417044;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx HDMI 4K - 3 metros;Kelyx;KL-CBL-HDTV-4K-3M;US$;2.13;21;0;2.58;
0417040;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx HDMI 4K - 5 metros;Kelyx;KL-CBL-HDTV-4K-5M;US$;2.84;21;0;3.44;
0417309;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx USB 3.0 a Lightning 27W 1mt (7039);Kelyx;KL-CBL-USB3.0-LIGH-27W-1M;US$;1.29;21;0;1.56;
0417308;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx USB 3.2 a Type C 3A 60W 1mt (7022);Kelyx;KL-CBL-USB3.2-TYPEC-60W-1M;US$;2.24;21;0;2.71;
0417312;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx USB 4 en 1 - Type C / USB 3.0 / Lightning 1.5mts (7060);Kelyx;KL-CBL-USB-4EN1-1.5M;US$;2.93;21;0;3.55;
0417311;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx USB Type C a Type C 240W / 20Gbp - 4K ULTRA HD 1mt (7053);Kelyx;KL-CBL-TYPEC-240W-20GPS-1M;US$;3.98;21;0;4.82;
0417310;Conectividad /Cable de Red UTP / HDMI;Cable Kelyx USB Type C a Type C 65W / 10Gbp - 4K ULTRA HD 1mt (7046);Kelyx;KL-CBL-TYPEC-65W-10GPS-1M;US$;2.59;21;0;3.13;
0415213;Conectividad /Cable de Red UTP / HDMI;DS-1LN5E-E/E  Bobina Hikvision Cable UTP Cat5e Interior 305m (6842);Hikvision;DS-1LN5E-E/E(O-STD);US$;106.35;21;0;128.68;Stock Bajo
0415767;Conectividad /Cable de Red UTP / HDMI;DS-1LN5EO-UU/E  Bobina Hikvision Cable UTP Cat5e Exterior 305m (1148);Hikvision;DS-1LN5EO-UU/E(O-STD);US$;131.43;21;0;159.03;
0416630;Conectividad /Cable de Red UTP / HDMI;DS-1LN6UEL5  Cable U/UTP LSZH Cat 6 CPR-eca (6803);Hikvision;DS-1LN6UEL5(O-STD)/White 305m;US$;169.4;21;0;204.97;Stock Bajo
0409024;Conectividad /Cable de Red UTP / HDMI;Rollo 305 mts UTP Cat 5e Exterior Kelyx (1815);KELYX UTP;;US$;57.42;21;0;69.48;Stock Bajo
0409027;Conectividad /Cable de Red UTP / HDMI;Rollo 305 mts UTP Cat 6 Exterior Kelyx (0176);KELYX UTP;;US$;74.52;21;0;90.17;Stock Bajo
0409026;Conectividad /Cable de Red UTP / HDMI;Rollo 305 mts UTP Cat 6 Interior Kelyx (0275);KELYX UTP;;US$;50.96;21;0;61.66;Stock Bajo
0417266;Conectividad /Media conv/módulos;SM311LM Modulo SFP  MiniGBIC 1000Base-SX MMF (0209);TP-Link SMB;SM311LM;US$;16.61;21;0;20.1;
0417267;Conectividad /Media conv/módulos;SM311LS Modulo SFP MiniGBIC 1000Base-LX SMF (0216);TP-Link SMB;SM311LS;US$;15.13;21;0;18.31;Stock Bajo
0416846;Conectividad /Media conv/módulos;SM321A Modulo SFP WDM Bi-direccional GIGABIT (0513);TP-Link SMB;SM321A;US$;17.88;21;0;21.63;
0416847;Conectividad /Media conv/módulos;SM321B Modulo SFP WDM Bi-direccional GIGABIT (0520);TP-Link SMB;SM321B;US$;16.24;21;0;19.65;
0416944;Conectividad /Media conv/módulos;SM5110-LR Modulo SFP+ LC monomodo 10GBase (2807);TP-Link SMB;SM5110-LR;US$;33.25;21;0;40.23;Stock Bajo
0416848;Conectividad /Media conv/módulos;SM5220-1M PACH CORD con 2 SFP+  10G - cable de 1 mtr (2814);TP-Link SMB;SM5220-1M;US$;25.12;21;0;30.4;Stock Bajo
0410310;Conectividad /Media conv/módulos;MC110CS Media Converter 10/100 Single Mode (0407);TP-Link SMB;MC110CS;US$;29.39;21;0;35.56;
0407249;Conectividad /Media conv/módulos;MC200CM Media Converter Gigabit Multi Mode (0438);TP-Link SMB;MC200CM;US$;33.26;21;0;40.24;
0407250;Conectividad /Media conv/módulos;MC210CS Media Converter Gigabit Single Mode (0445);TP-Link SMB;MC210CS;US$;29.94;21;0;36.23;
0411839;Conectividad /Media conv/módulos;MC220L Media Converter SFP Gigabit Single Mode (0476);TP-Link SMB;MC220L;US$;18.26;21;0;22.09;
0414491;Conectividad /Modem ADSL y GPON;DS-P7001-04 OLT TP-Link GPON 4 puertos+2P 10G+1P Giga Uplink (3163);TP-Link SMB;DS-P7001-04;US$;822.25;10.5;0;908.59;Stock Bajo
0416850;Conectividad /Modem ADSL y GPON;DS-PMA-C++  SFP OLT Class C++ (6407);TP-Link SMB;DS-PMA-C++;US$;43.06;21;0;52.1;
0417228;Conectividad /Modem ADSL y GPON;HX220 Pack de 2 Mesh para ISP TP Link AX1800 Wifi Gigabit (4559);TP-Link SMB;HX220(2-pack);US$;66.33;10.5;0;73.29;
0415589;Conectividad /Modem ADSL y GPON;XC220-G3 Modem Router XPON Gigabit Dual Band AC1200 (1810);TP-Link SMB;XC220-G3;US$;22.95;10.5;0;25.36;
0414595;Conectividad /Modem ADSL y GPON;XC220-G3V Modem Router GPON Voip Gigabit Dual Band AC1200 (4245);TP-Link SMB;XC220-G3v;US$;27.83;10.5;0;30.75;
0416676;Conectividad /Modem ADSL y GPON;XZ000-G7 Modem Gigabit GPON (Fibra Optica) TP Link;TP-Link SMB;XZ000-G7;US$;9.69;10.5;0;10.71;
0414074;Conectividad /Modem ADSL y GPON;DS-P7001-08 OLT TP-Link GPON 8 puertos+2P 10G+1P Giga Uplink (3170);TP-Link SMB;DS-P7001-08;US$;1005.52;10.5;0;1111.1;Stock Bajo
0415953;Conectividad /Placas de Red Ethernet y Adaptadores USB;UC400 Adaptador USB-C 3.0 a USB ComunTP Link (6151);TP-Link;UC400;US$;5.11;21;0;6.18;
0417260;Conectividad /Placas de Red Ethernet y Adaptadores USB;UH3020C Hub USB-C 3 EN 1 Hdmi/USB/USB C (0057);TP-Link;UH3020C;US$;17.93;21;0;21.7;
0417355;Conectividad /Placas de Red Ethernet y Adaptadores USB;UH5020C Hub USB-C 5 EN 1 Hdmi/Eth/USB TP Link (0088);TP-Link;UH5020C;US$;23.89;21;0;28.91;
0417261;Conectividad /Placas de Red Ethernet y Adaptadores USB;UH7020C Hub USB-C 7 EN 1 Hdmi/SD/USB/USB-C TP Link (5295);TP-Link;UH7020C;US$;26.08;21;0;31.56;
0413291;Conectividad /Placas de Red Ethernet y Adaptadores USB;TX401 P.Red 10 Gigabit Tp-Link PCIe (2827);TP-Link;TX401;US$;47.91;10.5;0;52.94;
0410897;Conectividad /Placas de Red Ethernet y Adaptadores USB;UE330 Adap USB 3.0 a Ethernet Gigabit RJ45 + Minihub (4553);TP-Link;UE330;US$;15.46;21;0;18.71;Stock Bajo
0411567;Conectividad /Placas de Red WiFi PCI;ARCHER T4E P.RedW PCIX AC1200 2 Ant (8517);TP-Link;ARCHER T4E;US$;18.08;10.5;0;19.98;
0401176;Conectividad /Placas de Red WiFi PCI;TL-WN781ND PRedW PCIEX 150Mbp(LN) AntDet (0511);TP-Link;TL-WN781ND;US$;7.31;10.5;0;8.08;Stock Bajo
0403150;Conectividad /Placas de Red WiFi PCI;TL-WN881ND P.RedW PCIX 300Mb 2 AntDet (0573);TP-Link;TL-WN881ND;US$;10.17;10.5;0;11.24;Stock Bajo
0414880;Conectividad /Placas de Red WiFi USB;Archer T3U Nano P.RedW USB AC1300 Dual band (2667);TP-Link;Archer T3U Nano;US$;12.91;10.5;0;14.27;
0416505;Conectividad /Placas de Red WiFi USB;Archer TX20U Nano P.RedW USB AX1800 D.Band (6419);TP-Link;Archer TX20U Nano;US$;14.21;10.5;0;15.7;
0415959;Conectividad /Placas de Red WiFi USB;Archer TX20U P.RedW USB AX1800 D.Band (3487);TP-Link;Archer TX20U;US$;16.79;10.5;0;18.55;Stock Bajo
0415960;Conectividad /Placas de Red WiFi USB;Archer TX50UH P.RedW USB AX3000 D.Band High Gain 2 Ant (1841);TP-Link;Archer TX50UH;US$;27.12;10.5;0;29.97;
0403771;Conectividad /Placas de Red WiFi USB;TL-WN725N Nano P.RedW USB 150Mbps (LN) (0719);TP-Link;TL-WN725N;US$;5.82;10.5;0;6.43;Stock Bajo
0415560;Conectividad /Router;ER7212PC Router Mwan Gigabit 3 en 1 VPN+Sw Poe+OC TP Link (8717);TP-Link SMB;ER7212PC;US$;146.53;10.5;0;161.92;Stock Bajo
0417263;Conectividad /Router;ER7412-M2 Router Mwan 2.5G - VPN Omada (5184);TP-Link SMB;ER7412-M2;US$;148.4;10.5;0;163.98;Stock Bajo
0414396;Conectividad /Router Wireless;ARCHER AX23 AX1800 Wir DualBand Gigabit Tp-Link (7048);TP-Link;Archer AX23;US$;43.54;10.5;0;48.11;
0416674;Conectividad /Router Wireless;ARCHER AX53 AX3000 Wir DualBand Gigabit Tp-Link;TP-Link;Archer AX53;US$;45.89;10.5;0;50.71;
0415391;Conectividad /Router Wireless;ARCHER AX55 PRO AX3000 Wir DualBand Multi Gigabit Tp-Link (6805);TP-Link;Archer AX55 Pro;US$;60.19;10.5;0;66.51;
0415948;Conectividad /Router Wireless;ARCHER AX73 AX5400 Wir DualBand Gigabit Tp-Link (0263);TP-Link;Archer AX73;US$;94.08;10.5;0;103.96;Stock Bajo
0417080;Conectividad /Router Wireless;DS-3WR3N  Router Wireless 300 M (7252);Hikvision;DS-3WR3N(O-STD)/ARGENTINA;US$;11.19;10.5;0;12.36;
0415488;Conectividad /Router Wireless;MR70X Router Wir Mercusys Gigabit  AX1800  4 Ant (0509);TP-Link;MR70X;US$;32.4;10.5;0;35.8;
0415561;Conectividad /Router Wireless;MR80X Router Wir Mercusys Gigabit  AX3000  4 Ant (0646);TP-Link;MR80X;US$;40.4;10.5;0;44.64;
0412151;Conectividad /Router Wireless;ARCHER AX10 AX1500 Wir DualBand Gigabit Tp-Link (9221);TP-Link;ARCHER AX10;US$;42.66;10.5;0;47.14;Stock Bajo
0409120;Conectividad /Router Wireless;ARCHER C60 AC1350 Wir Dual Band 5 Antenas Tp-Link (6755);TP-Link;ARCHER C60;US$;26.2;10.5;0;28.95;Stock Bajo
0410524;Conectividad /Router Wireless;TL-WR850N Agile Config Rou Wi 300Mbps para ISP (4431);TP-Link;TL-WR850N;US$;14.86;10.5;0;16.42;Stock Bajo
0416095;Conectividad /Smart Home;TAPO H200 Smart Hub Voice Control (9547);TP-Link;Tapo H200;US$;26.76;21;23.46;38.66;Stock Bajo
0415587;Conectividad /Smart Home;TAPO T100 Sensor de Movimiento REQUIERE TAPO HUB NO INCLUIDO (7284);TP-Link;Tapo T100;US$;8.87;21;0;10.73;Stock Bajo
0415558;Conectividad /Smart Home;TAPO T310 Sensor de Temp y Hum REQUIERE TAPO HUB NO INCLUIDO (7314);TP-Link;Tapo T310;US$;5.64;10.5;0;6.23;
0416628;Conectividad /Switches Administrables;DS-3E1318P-EI  Switch PoE inteligente Fast Ethernet (7159);Hikvision;DS-3E1318P-EI(O-STD)V2;US$;301.04;10.5;0;332.65;Stock Bajo
0414901;Conectividad /Switches Administrables;EAP610 AX1800 Mbps AP Gigabit Ceilling Wall (7772);TP-Link SMB;EAP610;US$;62.69;10.5;0;69.27;Stock Bajo
0416843;Conectividad /Switches Administrables;EAP650-Outdoor AX3000 Dual Band WIFI 6 AP - MESH (3552);TP-Link SMB;EAP650-Outdoor;US$;99.01;10.5;0;109.41;
0414927;Conectividad /Switches Administrables;EAP655 Wall AX3000 Mbps AP Gigabit p/caja de Pared (3576);TP-Link SMB;EAP655-Wall;US$;56.69;10.5;0;62.64;Stock Bajo
0416952;Conectividad /Switches Administrables;SG2005P-PD Switch Omada Outdoor -  1in+4 Poe+ - Ip55/64W (9486);TP-Link SMB;SG2005P-PD;US$;65.78;10.5;0;72.69;Stock Bajo
0416093;Conectividad /Switches Administrables;SG2008P Switch Gigabit Smart 8P (4 POE) Tp-Link Omada (2957);TP-Link SMB;SG2008P;US$;65.9;10.5;0;72.82;Stock Bajo
0417264;Conectividad /Switches Administrables;SG2218P Switch Gigabit Smart 16POE+  Tp-Link Omada (9509);TP-Link SMB;SG2218P;US$;153.35;10.5;0;169.45;Stock Bajo
0415956;Conectividad /Switches Administrables;SG3210 Switch JetStream L2 Gigabit 8P +2 SFP Tp-Link Omada (6396);TP-Link SMB;SG3210;US$;72.31;10.5;0;79.9;Stock Bajo
0416413;Conectividad /Switches Administrables;SG3452 Switch Gigabit L2 JetStream 48P + 4SFP Tp-Link (0751);TP-Link SMB;SG3452;US$;248.38;10.5;0;274.46;
0417265;Conectividad /Switches Administrables;SG3452X Switch 48 + 4 10G SFP+ L2+ Gigabit TP-Link Omada;TP-Link SMB;SG3452X;US$;311.01;10.5;0;343.67;Stock Bajo
0414274;Conectividad /Switches No Administrables;TL-SF1024D Switch 24P Tp-Link Desktop (1498);TP-Link;TL-SF1024D;US$;38.99;10.5;0;43.08;
0415952;Conectividad /Switches No Administrables;TL-SG116P Switch 16P Giga POE TpLink Smart Gigabit (0301);TP-Link;TL-SG116P;US$;104.88;10.5;0;115.89;Stock Bajo
0414602;Conectividad /Switches No Administrables;TL-SG1210P Switch Gigabit 9P 8POE+ 1SFP Tp-Link (2980);TP-Link;TL-SG1210P;US$;57.61;10.5;0;63.66;Stock Bajo
0411418;Conectividad /Switches No Administrables;TL-SG1005P Switch 5P Giga (4 ptos POE) Tp-Link Desk (3212);TP-Link;TL-SG1005P;US$;31.2;10.5;0;34.48;Stock Bajo
0411783;Conectividad /Switches No Administrables;TL-SG108PE Switch Gigabit 8P Smart 4P POE Tp-Link (4744);TP-Link;TL-SG108PE;US$;42.44;10.5;0;46.9;Stock Bajo
0403745;Consumibles /Cartuchos;T195420-CART.AMARILLO (XP101/201) (2305);Epson;T195420;US$;12.25;10.5;0;13.54;Stock Bajo
0403749;Consumibles /Cartuchos;T196420-CART.AMARILLO HC (XP201/401) (2343);Epson;T196420 HIGH CAPACIT;US$;14.55;10.5;0;16.08;Stock Bajo
0411799;Consumibles /Cartuchos;T206320-CART.MAGENTA (XP-2101);Epson;T206320;US$;11.3;10.5;0;12.49;Stock Bajo
0407840;Consumibles /Cartuchos;T296320-CART.MAGENTA (XP-231) (2013);Epson;T296320;US$;12.69;10.5;0;14.02;Stock Bajo
